_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
1,2023,M1C,DOG,GOLDEN RETR
2,2023,M3A,DOG,CAVALIER SPAN
3,2023,M4T,DOG,SC WHEAT TERR
4,2023,M8X,CAT,DOMESTIC SH
5,2023,M3C,CAT,DOMESTIC SH
6,2023,M6P,CAT,DOMESTIC MH
7,2023,M8V,CAT,DOMESTIC SH
8,2023,M2M,DOG,CHINESE CRESTED
9,2023,M6K,CAT,DOMESTIC LH
10,2023,M1B,CAT,DOMESTIC SH
11,2024,M2H,CAT,DOMESTIC SH
12,2023,M9R,CAT,DOMESTIC SH
13,2024,M8V,CAT,DOMESTIC SH
14,2025,M8V,CAT,DOMESTIC SH
15,2024,M8Y,CAT,DOMESTIC SH
16,2023,M4C,CAT,DOMESTIC LH
17,2023,M1P,CAT,DOMESTIC SH
18,2023,M8V,CAT,DOMESTIC SH
19,2023,M4J,DOG,SCHNAUZER MIN
20,2023,M1S,CAT,DOMESTIC SH
21,2024,M6G,CAT,DOMESTIC SH
22,2023,M1L,CAT,DOMESTIC SH
23,2023,M5C,CAT,DOMESTIC SH
24,2023,M6S,CAT,DOMESTIC SH
25,2024,M8Y,DOG,SHIH TZU
26,2024,M6S,CAT,DOMESTIC LH
27,2023,M6P,CAT,DOMESTIC SH
28,2023,M3K,DOG,SHIH TZU
29,2023,M4E,CAT,DOMESTIC SH
30,2023,M1C,DOG,BICHON FRISE
31,2023,M9A,CAT,DOMESTIC SH
32,2025,M1G,CAT,DOMESTIC SH
33,2023,M3J,CAT,DOMESTIC SH
34,2023,M5V,DOG,SHIH TZU
35,2023,M3A,DOG,POODLE MIN
36,2023,M6P,CAT,DOMESTIC SH
37,2023,M9C,CAT,DOMESTIC SH
38,2023,M5N,CAT,DOMESTIC SH
39,2023,M1K,CAT,DOMESTIC SH
40,2024,M1J,DOG,POMERANIAN
41,2023,M4C,CAT,DOMESTIC SH
42,2026,M1T,DOG,BICHON FRISE
43,2023,M6B,CAT,DOMESTIC SH
44,2026,M2N,CAT,DOMESTIC SH
45,2024,M1G,CAT,DOMESTIC LH
46,2023,M6A,DOG,POODLE STND
47,2023,M4C,DOG,BEARDED COLLIE
48,2023,M5V,CAT,DOMESTIC SH
49,2023,M6M,DOG,GERM SHEPHERD
50,2024,M9B,DOG,POODLE MIN
51,2023,M5A,CAT,RAGDOLL
52,2023,M5A,CAT,RAGDOLL
53,2023,M9B,CAT,DOMESTIC SH
54,2023,M6S,DOG,PARSON RUSS TER
55,2025,M1B,CAT,DOMESTIC SH
56,2023,M2H,DOG,AMER ESKIMO
57,2023,M8W,CAT,DOMESTIC SH
58,2023,M1V,CAT,DOMESTIC SH
59,2023,M1V,CAT,DOMESTIC SH
60,2024,M6R,CAT,DOMESTIC SH
61,2023,M1B,CAT,DOMESTIC SH
62,2023,M2N,CAT,SIAMESE
63,2023,M3B,DOG,SCHNAUZER MIN
64,2023,M6S,DOG,RAT TERRIER
65,2023,M6J,CAT,DOMESTIC SH
66,2023,M3L,CAT,DOMESTIC SH
67,2023,M5R,DOG,MALTESE
68,2023,M6P,DOG,PARSON RUSS TER
69,2023,M9W,DOG,CHIHUAHUA SH
70,2023,M4T,DOG,COCKER SPAN
71,2023,M1C,CAT,DOMESTIC SH
72,2024,M1J,CAT,HIMALAYAN
73,2023,M1P,CAT,HIMALAYAN
74,2023,M4X,CAT,DOMESTIC SH
75,2023,M1N,CAT,DOMESTIC SH
76,2023,M1N,DOG,WHIPPET
77,2023,M4T,CAT,DOMESTIC LH
78,2023,M4L,CAT,DOMESTIC MH
79,2023,M6N,CAT,DOMESTIC SH
80,2023,M4J,CAT,DOMESTIC SH
81,2023,M4E,CAT,DOMESTIC SH
82,2023,M4C,CAT,DOMESTIC SH
83,2023,M4C,CAT,DOMESTIC SH
84,2024,M9R,CAT,DOMESTIC SH
85,2024,M4L,DOG,BASSET HOUND
86,2025,M4T,CAT,DOMESTIC SH
87,2025,M1B,CAT,DOMESTIC SH
88,2023,M9C,CAT,DOMESTIC SH
89,2023,M5P,DOG,BICHON FRISE
90,2023,M6E,DOG,SHIH TZU
91,2025,M6K,CAT,DOMESTIC SH
92,2024,M4J,CAT,DOMESTIC SH
93,2024,M9P,CAT,DOMESTIC SH
94,2023,M1E,CAT,DOMESTIC SH
95,2023,M9M,DOG,SHIH TZU
96,2023,M1W,CAT,DOMESTIC SH
97,2023,M5P,CAT,DOMESTIC SH
98,2024,M1L,CAT,DOMESTIC SH
99,2024,M6E,CAT,DOMESTIC SH
100,2023,M1E,DOG,GERM SHEPHERD
101,2025,M1L,CAT,RUSSIAN BLUE
102,2023,M4C,CAT,DOMESTIC SH
103,2023,M6C,DOG,GOLDEN RETR
104,2023,M5R,DOG,NS DUCK TOLLING
105,2023,M5R,CAT,DOMESTIC SH
106,2024,M5M,CAT,DOMESTIC MH
107,2023,M1W,CAT,DOMESTIC SH
108,2023,M2N,DOG,GERM SHEPHERD
109,2024,M4V,CAT,DOMESTIC SH
110,2023,M6G,CAT,DOMESTIC SH
111,2023,M4W,CAT,DOMESTIC SH
112,2023,M1C,CAT,DOMESTIC SH
113,2024,M6S,DOG,CHIHUAHUA SH
114,2026,M6M,CAT,DOMESTIC SH
115,2023,M6B,DOG,BEAGLE
116,2023,M9A,CAT,DOMESTIC SH
117,2023,M1C,CAT,DOMESTIC SH
118,2024,M9W,CAT,DOMESTIC SH
119,2023,M4J,DOG,MALTESE
120,2023,M6R,CAT,DOMESTIC SH
121,2023,M6R,CAT,DOMESTIC SH
122,2023,M6R,DOG,GERM SHEPHERD
123,2023,M9B,DOG,POODLE TOY
124,2023,M9B,DOG,POODLE TOY
